start_timestamp,open,high,low,close,volume,trades_count,end_timestamp
2025-10-03 18:37:00,122594.0,122723.0,122594.0,122719.0,13.17925,369,2025-10-03 18:37:59.999
2025-10-03 18:38:00,122718.0,122788.0,122702.0,122730.0,47.44845,458,2025-10-03 18:38:59.999
2025-10-03 18:39:00,122730.0,122753.0,122720.0,122753.0,12.86792,202,2025-10-03 18:39:59.999
2025-10-03 18:40:00,122753.0,122778.0,122686.0,122764.0,43.67907,425,2025-10-03 18:40:59.999
2025-10-03 18:41:00,122751.0,122751.0,122636.0,122636.0,13.53471,336,2025-10-03 18:41:59.999
2025-10-03 18:42:00,122634.0,122678.0,122622.0,122670.0,9.54359,268,2025-10-03 18:42:59.999
2025-10-03 18:43:00,122669.0,122679.0,122654.0,122674.0,3.57813,190,2025-10-03 18:43:59.999
2025-10-03 18:44:00,122674.0,122730.0,122674.0,122695.0,15.45104,274,2025-10-03 18:44:59.999
2025-10-03 18:45:00,122694.0,122702.0,122617.0,122680.0,34.10294,456,2025-10-03 18:45:59.999
2025-10-03 18:46:00,122677.0,122680.0,122629.0,122678.0,19.1157,337,2025-10-03 18:46:59.999
2025-10-03 18:47:00,122680.0,122721.0,122650.0,122709.0,20.05933,402,2025-10-03 18:47:59.999
2025-10-03 18:48:00,122709.0,122778.0,122671.0,122672.0,15.48211,478,2025-10-03 18:48:59.999
2025-10-03 18:49:00,122672.0,122672.0,122483.0,122514.0,38.16723,572,2025-10-03 18:49:59.999
2025-10-03 18:50:00,122514.0,122540.0,122380.0,122397.0,55.28945,497,2025-10-03 18:50:59.999
2025-10-03 18:51:00,122398.0,122507.0,122398.0,122463.0,25.24423,382,2025-10-03 18:51:59.999
2025-10-03 18:52:00,122463.0,122464.0,122366.0,122423.0,42.62137,509,2025-10-03 18:52:59.999
2025-10-03 18:53:00,122423.0,122482.0,122423.0,122462.0,12.13228,352,2025-10-03 18:53:59.999
2025-10-03 18:54:00,122462.0,122507.0,122462.0,122485.0,6.41768,230,2025-10-03 18:54:59.999
2025-10-03 18:55:00,122485.0,122493.0,122446.0,122476.0,14.28172,291,2025-10-03 18:55:59.999
2025-10-03 18:56:00,122477.0,122498.0,122444.0,122458.0,6.72462,219,2025-10-03 18:56:59.999
2025-10-03 18:57:00,122458.0,122543.0,122458.0,122534.0,12.9714,277,2025-10-03 18:57:59.999
2025-10-03 18:58:00,122532.0,122535.0,122505.0,122511.0,5.34847,179,2025-10-03 18:58:59.999
2025-10-03 18:59:00,122512.0,122622.0,122512.0,122613.0,36.12795,407,2025-10-03 18:59:59.999
2025-10-03 19:00:00,122612.0,122676.0,122571.0,122572.0,10.29407,306,2025-10-03 19:00:59.999
2025-10-03 19:01:00,122572.0,122627.0,122551.0,122551.0,22.31536,399,2025-10-03 19:01:59.999
2025-10-03 19:02:00,122551.0,122560.0,122493.0,122493.0,21.7199,334,2025-10-03 19:02:59.999
2025-10-03 19:03:00,122494.0,122495.0,122438.0,122480.0,7.03222,431,2025-10-03 19:03:59.999
2025-10-03 19:04:00,122479.0,122481.0,122397.0,122427.0,10.32207,362,2025-10-03 19:04:59.999
2025-10-03 19:05:00,122426.0,122440.0,122394.0,122432.0,7.48971,281,2025-10-03 19:05:59.999
2025-10-03 19:06:00,122432.0,122503.0,122432.0,122456.0,5.88823,310,2025-10-03 19:06:59.999
