start_timestamp,open,high,low,close,volume,trades_count,end_timestamp,close_lag_1,volume_lag_1,close_lag_5,volume_lag_5,close_lag_10,volume_lag_10,log_return,volatility_20,ob_high,ob_low,fvg_bull,fvg_bear,liq_sweep_bull,liq_sweep_bear,bos_bull,bos_bear
2025-10-03 18:57:00,122458.0,122543.0,122458.0,122534.0,12.9714,277,2025-10-03 18:57:59.999,122458.0,6.72462,122423.0,42.62137,122709.0,20.05933,0.0006204284420545336,0.0005038146380768321,False,False,0.0,0.0,False,False,False,False
2025-10-03 18:58:00,122532.0,122535.0,122505.0,122511.0,5.34847,179,2025-10-03 18:58:59.999,122534.0,12.9714,122462.0,12.13228,122672.0,15.48211,-0.00018772062329398755,0.0005028482523334328,False,False,0.0,0.0,False,False,False,False
2025-10-03 18:59:00,122512.0,122622.0,122512.0,122613.0,36.12795,407,2025-10-03 18:59:59.999,122511.0,5.34847,122485.0,6.41768,122514.0,38.16723,0.0008322318980367207,0.0005407667845445007,False,False,0.0,0.0,False,False,False,False
2025-10-03 19:00:00,122612.0,122676.0,122571.0,122572.0,10.29407,306,2025-10-03 19:00:59.999,122613.0,36.12795,122476.0,14.28172,122397.0,55.28945,-0.0003344413433298219,0.0005430220510825402,False,False,0.0,0.0,False,False,False,False
2025-10-03 19:01:00,122572.0,122627.0,122551.0,122551.0,22.31536,399,2025-10-03 19:01:59.999,122572.0,10.29407,122458.0,6.72462,122463.0,25.24423,-0.00017134255089384915,0.0004942908151731588,False,False,0.0,0.0,False,False,False,False
2025-10-03 19:02:00,122551.0,122560.0,122493.0,122493.0,21.7199,334,2025-10-03 19:02:59.999,122551.0,22.31536,122534.0,12.9714,122423.0,42.62137,-0.0004733843806264073,0.0004978471481905693,False,False,0.0,0.0,False,False,False,False
2025-10-03 19:03:00,122494.0,122495.0,122438.0,122480.0,7.03222,431,2025-10-03 19:03:59.999,122493.0,21.7199,122511.0,5.34847,122462.0,12.13228,-0.00010613414549519862,0.0004972762254894052,False,False,0.0,0.0,False,False,False,False
2025-10-03 19:04:00,122479.0,122481.0,122397.0,122427.0,10.32207,362,2025-10-03 19:04:59.999,122480.0,7.03222,122613.0,36.12795,122485.0,6.41768,-0.0004328173619159846,0.0004996097775707797,False,False,0.0,0.0,False,False,False,False
2025-10-03 19:05:00,122426.0,122440.0,122394.0,122432.0,7.48971,281,2025-10-03 19:05:59.999,122427.0,10.32207,122572.0,10.29407,122476.0,14.28172,4.083983027526747e-05,0.0005007175587419228,False,False,0.0,0.0,False,False,False,False
2025-10-03 19:06:00,122432.0,122503.0,122432.0,122456.0,5.88823,310,2025-10-03 19:06:59.999,122432.0,7.48971,122551.0,22.31536,122458.0,6.72462,0.00019600797161833648,0.0005048452295229076,False,False,0.0,0.0,False,False,False,False
2025-10-03 19:07:00,122455.0,122517.0,122455.0,122512.0,4.18723,202,2025-10-03 19:07:59.999,122456.0,5.88823,122493.0,21.7199,122534.0,12.9714,0.0004572025813615506,0.0005141501475086739,False,False,0.0,0.0,False,False,False,False
2025-10-03 19:08:00,122513.0,122513.0,122476.0,122496.0,5.66774,182,2025-10-03 19:08:59.999,122512.0,4.18723,122480.0,7.03222,122511.0,5.34847,-0.00013060798033325233,0.0005116936559486603,False,False,0.0,0.0,False,False,False,False
2025-10-03 19:09:00,122496.0,122591.0,122495.0,122557.0,5.2544,359,2025-10-03 19:09:59.999,122496.0,5.66774,122427.0,10.32207,122613.0,36.12795,0.0004978514954718783,0.00043880786486295186,False,False,0.0,0.0,False,False,False,False
2025-10-03 19:10:00,122556.0,122619.0,122554.0,122619.0,7.96836,198,2025-10-03 19:10:59.999,122557.0,5.2544,122432.0,7.48971,122572.0,10.29407,0.0005057591389172155,0.0003868476253982921,False,False,0.0,0.0,False,False,False,False
2025-10-03 19:11:00,122619.0,122635.0,122549.0,122635.0,9.88466,395,2025-10-03 19:11:59.999,122619.0,7.96836,122456.0,5.88823,122551.0,22.31536,0.00013047697507648578,0.00037243724330410195,False,False,0.0,0.0,False,False,False,False
